Date (America/Los_Angeles),Author,Comment
"2016-10-06 10:01:02","mcdojf",""
"2016-05-13 09:16:50","mcdojf",""
"2015-07-04 13:37:59","cjs.tanner",""
"2015-02-22 17:56:42","mcdojf",""
"2014-11-04 14:58:29","mcdojf",""
"2014-10-17 19:40:49","mcdojf",""
"2014-10-17 19:33:46","mcdojf",""
"2014-10-17 19:32:06","mcdojf",""
"2014-09-18 21:18:43","mcdojf",""
"2014-09-18 21:18:17","mcdojf",""
"2014-04-01 10:22:14","mcdojf",""
"2014-03-28 23:25:57","mcdojf",""
"2014-02-22 09:12:52","mcdojf",""
"2013-12-17 21:48:09","mcdojf",""
"2013-11-23 11:49:56","mcdojf",""
"2013-04-26 07:43:57","xak944",""
"2013-03-27 07:15:05","mcdojf",""
"2012-12-10 15:26:19","mcdojf",""
"2012-12-10 15:25:06","mcdojf",""
"2012-12-10 15:23:18","mcdojf",""
"2012-12-10 15:18:16","mcdojf",""
"2012-12-08 13:11:38","olm3ca",""
"2012-07-20 22:34:27","mcdojf",""
"2012-07-14 08:42:45","mcdojf",""
"2012-05-24 12:25:41","mcdojf",""
"2012-04-09 13:59:02","mcdojf",""
"2012-04-09 13:45:57","mcdojf",""
"2012-02-25 22:53:30","mcdojf",""
"2012-02-12 19:49:11","mcdojf",""
"2012-01-29 21:06:56","mcdojf",""
"2012-01-20 22:24:01","mcdojf",""
"2012-01-19 12:55:48","mcdojf",""
"2012-01-06 20:06:45","mcdojf",""
"2011-12-28 10:38:57","mcdojf",""
"2011-12-22 17:06:01","mcdojf",""
"2011-12-22 11:05:31","mcdojf",""
"2011-12-22 10:56:09","mcdojf",""
"2011-11-28 18:59:14","mcdojf",""
"2011-11-28 18:52:16","mcdojf",""
"2011-10-16 13:13:54","nullghost",""
"2011-09-21 10:01:38","mcdojf",""
"2011-09-17 13:02:46","mcdojf",""
"2011-09-06 12:56:51","mcdojf",""
"2011-08-27 15:51:23","mcdojf","Reverted to Aug 19, 2011 10:25 am"
"2011-08-27 15:41:45","mcdojf","Reverted to Aug 27, 2011 10:59 am"
"2011-08-27 11:14:03","kim122079",""
"2011-08-27 10:59:20","kim122079",""
"2011-08-19 10:25:48","mcdojf",""
"2011-08-09 10:15:17","mcdojf",""
"2011-08-09 07:00:24","mcdojf",""
"2011-08-03 20:22:39","mcdojf",""
"2011-08-03 20:22:09","mcdojf",""
"2011-08-03 20:21:46","mcdojf",""
"2011-08-03 20:20:53","mcdojf",""
"2011-08-03 20:14:31","mcdojf",""
"2011-08-03 18:44:03","mcdojf",""
"2011-08-01 20:46:36","mcdojf",""
"2011-08-01 20:44:44","mcdojf",""
"2011-08-01 20:30:41","mcdojf",""
"2011-08-01 17:04:09","mcdojf",""
"2011-07-28 07:58:49","mcdojf",""
"2011-07-28 07:45:04","mcdojf",""
"2011-07-28 07:25:29","mcdojf",""
"2011-07-23 20:33:45","mcdojf",""
"2011-07-22 07:54:40","mcdojf",""
"2011-06-27 16:12:16","mcdojf",""
"2011-06-27 13:07:10","mcdojf",""
"2011-06-16 17:03:41","mcdojf",""
"2011-06-16 17:03:24","mcdojf",""
"2011-06-16 17:02:46","mcdojf",""
"2011-06-15 10:42:05","mcdojf",""
"2011-06-15 10:41:41","mcdojf",""
"2011-06-15 10:40:15","mcdojf",""
"2011-06-14 18:57:56","mcdojf",""
"2011-06-13 22:54:02","mcdojf",""
"2011-06-13 18:19:16","mcdojf",""
"2011-06-13 11:37:52","mcdojf",""
"2011-06-12 23:53:11","mcdojf",""
"2011-06-12 23:52:00","mcdojf",""
"2011-06-12 22:01:57","mcdojf",""
"2011-06-12 21:57:02","mcdojf",""
"2011-06-12 21:55:37","mcdojf",""
"2011-06-12 10:58:06","mcdojf",""
"2011-06-11 12:35:21","mcdojf",""
"2011-06-11 09:50:21","mcdojf",""
"2011-06-11 09:50:08","mcdojf",""
"2011-06-11 09:46:25","mcdojf",""
"2011-06-11 09:31:28","mcdojf",""
"2011-06-11 09:29:43","mcdojf",""
"2011-06-11 09:29:00","mcdojf",""
"2011-06-11 09:26:46","mcdojf",""
"2011-06-11 08:28:59","mcdojf",""
"2011-06-11 08:28:47","mcdojf",""
"2011-06-11 08:28:00","mcdojf",""
"2011-06-11 08:27:02","mcdojf",""
"2011-06-11 08:26:47","mcdojf",""
"2011-06-10 22:33:58","mcdojf",""
"2011-06-10 22:23:31","mcdojf",""
"2011-06-10 21:12:10","mcdojf",""
"2011-06-10 21:11:02","mcdojf",""
"2011-06-10 21:05:36","mcdojf",""
"2011-06-10 20:57:00","mcdojf",""
"2011-06-10 20:49:21","mcdojf",""
"2011-06-10 20:38:56","mcdojf",""
"2011-06-10 20:01:58","mcdojf",""
"2011-06-10 19:30:47","mcdojf",""
"2011-06-10 19:28:40","mcdojf",""
"2011-06-10 18:18:57","mcdojf",""
"2011-06-10 18:18:08","mcdojf",""
