Type,Name,Size,Status,Last Edited By,Date Last Edited (America/Los_Angeles)
"file","1learnthecontrols.jpg","45929","active","mcdojf","2011-06-12 10:27:45"
"file","2getontheweb.jpg","75086","active","mcdojf","2011-06-12 10:27:53"
"page","3G","6182","active","mcdojf","2012-06-12 15:55:46"
"page","3G in Ubuntu","1600","active","mcdojf","2012-04-30 19:41:49"
"page","3G in Windows 7","3588","active","mcdojf","2012-02-26 10:57:30"
"page","3G in Windows 8","3517","active","mcdojf","2014-04-01 10:19:26"
"file","backlight.sh","1013","active","Pomme_de_Terre","2012-03-09 19:57:00"
"page","Change 3G Carrier","1652","active","mcdojf","2011-06-27 16:12:57"
"file","chome-ubuntu.jpeg","15542","active","mcdojf","2011-06-13 14:31:02"
"file","chromeos-recovery-1.jpg","24689","active","mcdojf","2012-01-29 19:03:48"
"file","chromeos_developer.png","38651","active","mcdojf","2011-06-16 16:12:18"
"file","chromeos_ponyDamaged.png","41301","active","mcdojf","2012-01-29 19:27:49"
"file","chromeos_ponyRecovery.png","50335","active","mcdojf","2011-06-10 21:14:54"
"page","Configure Media Keys Ubuntu","3585","active","Pomme_de_Terre","2012-03-09 20:04:12"
"page","Configure Media Keys Windows","1213","active","mcdojf","2014-10-23 21:26:12"
"page","Cr-48 Hardware Specifications","","","",""
"page","Cr-48 Hinge Reinforcement","2983","active","poflynn","2012-05-14 15:28:25"
"file","CR-48 Keyboard","2189","active","mcdojf","2011-08-01 19:15:42"
"page","Cr-48 Keyboard Shortcuts","","","",""
"page","CR-48 Lid Alignment Issues","5593","active","poflynn","2012-11-03 13:26:41"
"file","cr-48-notebook.jpg","23712","active","mcdojf","2013-11-23 11:49:26"
"file","CR-48.jpg","19818","active","mcdojf","2011-06-11 09:26:29"
"file","cr-48_bios.png","119866","active","mcdojf","2011-06-10 23:22:38"
"file","cr-48_keyboard.jpg","80242","active","mcdojf","2011-08-01 19:21:26"
"file","cr-48_media_keys.png","130899","active","mcdojf","2011-08-01 19:21:25"
"file","cr-48_open.jpg","68612","active","mcdojf","2011-06-10 20:02:14"
"file","cr48-bottom.jpg","295450","active","mcdojf","2011-06-10 19:30:59"
"file","cr48.bin.tar.gz","794650","active","mcdojf","2011-06-10 18:55:43"
"file","cr48bbq.jpg","55435","active","mcdojf","2011-06-10 22:54:08"
"file","cr48box.jpg","47856","active","mcdojf","2011-06-12 10:52:37"
"file","cr48decalinstructions2.jpg","258374","active","mcdojf","2011-07-29 20:36:25"
"file","cr48decals2.jpg","324557","active","mcdojf","2011-07-29 20:36:03"
"file","cr48gps.jpg","44565","active","mcdojf","2011-06-13 21:11:38"
"file","cr48intel.jpg","51781","active","mcdojf","2011-06-12 10:43:48"
"file","cr48intelcard.jpg","51781","active","mcdojf","2011-06-12 10:41:06"
"file","cr48keyboard.jpg","68290","active","mcdojf","2011-06-13 14:27:38"
"file","cr48lcd.jpg","795453","active","mcdojf","2011-08-01 16:55:52"
"file","cr48lid_9916.JPG","2385587","active","poflynn","2012-04-09 13:46:36"
"file","cr48lid_9917.JPG","2848069","active","poflynn","2012-04-09 13:46:37"
"file","cr48lid_9919.JPG","1150071","active","poflynn","2012-04-09 13:46:37"
"file","cr48lid_9921.JPG","416574","active","poflynn","2012-04-09 13:46:37"
"file","cr48lid_9922.JPG","367111","active","poflynn","2012-04-09 13:46:37"
"file","cr48notebook.jpg","21949","active","mcdojf","2011-06-13 20:57:01"
"file","cr48parts.jpg","268411","active","mcdojf","2011-06-10 22:58:03"
"file","cr48right.jpg","34645","active","mcdojf","2011-06-11 09:28:46"
"file","cr48safety1.jpg","1872885","active","mcdojf","2011-06-12 10:33:07"
"file","cr48safety2.jpg","2335289","active","mcdojf","2011-06-12 10:33:36"
"file","cr48screws.jpg","66231","active","mcdojf","2011-06-10 20:33:59"
"file","cr48searchkey.jpg","36950","active","mcdojf","2011-06-13 21:02:11"
"file","cr48simslot.jpg","363962","active","mcdojf","2011-06-27 14:42:34"
"file","cr48ssd.jpg","271609","active","mcdojf","2011-06-10 20:48:22"
"file","cr48ssdcable.jpg","646867","active","mcdojf","2011-08-03 19:47:47"
"file","cr48tape.jpg","632412","active","mcdojf","2011-06-10 21:33:56"
"file","cr48touchpad.jpg","62616","active","mcdojf","2011-06-13 13:23:38"
"file","cr48ubuntu.jpg","18535","active","mcdojf","2011-06-10 23:12:08"
"file","cr48verizon.jpg","40112","active","mcdojf","2011-06-13 13:29:31"
"file","cr48windows7.jpg","57522","active","mcdojf","2011-06-10 22:47:40"
"file","cr48_battery_1.jpg","630139","active","mcdojf","2016-11-02 20:21:32"
"file","cr48_battery_2.jpg","307062","active","mcdojf","2016-11-02 20:21:33"
"file","cr48_bsod_easter_egg.gif","93374","active","mcdojf","2011-06-13 17:55:01"
"file","cr48_developer_switch.jpg","27934","active","mcdojf","2011-06-10 19:17:20"
"file","cr48_developer_switch_2.jpg","13127","active","mcdojf","2011-06-10 19:17:04"
"file","cr48_hamster_box_image.jpg","9565573","active","mcdojf","2011-06-12 10:53:36"
"file","cr48_windows8.jpg","235098","active","mcdojf","2011-09-17 13:01:13"
"page","Create shortcuts for dual-booting","","","",""
"file","custom.bin","4194304","active","mcdojf","2012-01-20 21:41:28"
"page","Disable Power Management","1272","active","mcdojf","2011-06-11 09:07:03"
"page","Dual Boot Shortcuts","3137","active","mcdojf","2014-10-23 21:24:40"
"page","Easter Egg","3798","active","mcdojf","2011-07-09 00:24:03"
"page","Enable 3G in standalone Linux","1449","active","cjs.tanner","2016-04-13 22:18:06"
"file","fishstock.bin","4194304","active","mcdojf","2011-06-10 18:54:27"
"page","Fix bad BIOS","5428","active","mcdojf","2015-04-25 20:27:27"
"page","Fix Touchpad in Ubuntu","4215","active","mcdojf","2011-11-10 07:08:11"
"page","Fix trackpad in Ubuntu","","","",""
"page","Flash an Alternate BIOS","","","",""
"page","Flash BIOS","6601","active","mcdojf","2016-11-16 12:36:18"
"page","Fully Functional Dual Boot","9170","active","xak944","2013-05-01 12:38:58"
"file","gobi-cr48-2011-03-02.zip","6026521","active","mcdojf","2012-02-25 21:16:37"
"page","GPS","2021","active","mcdojf","2011-06-21 23:49:37"
"page","home","4443","active","mcdojf","2016-10-06 10:01:02"
"page","Install Debian","4580","active","mcdojf","2012-06-14 14:16:17"
"page","Install Larger SSD","993","active","mcdojf","2015-02-10 11:48:39"
"page","Install Ubuntu","2728","active","mcdojf","2012-05-31 11:01:28"
"page","Install Windows 7","","","",""
"file","insyde_h2o_bios.png","11979","active","mcdojf","2011-06-13 14:44:07"
"page","Keyboard Shortcuts","3662","active","mcdojf","2011-07-28 08:15:21"
"file","l-hinge.jpg","38882","active","libssd","2011-12-22 14:54:58"
"page","Literature","1507","active","mcdojf","2012-02-05 14:55:59"
"page","Mac OSX","549","active","mcdojf","2011-07-22 07:52:57"
