Date (America/Los_Angeles),Author,Comment
"2016-11-16 12:36:18","mcdojf",""
"2016-11-16 11:02:11","mcdojf",""
"2013-04-30 13:41:16","mcdojf",""
"2012-08-07 20:55:48","mcdojf",""
"2012-07-28 22:06:08","mcdojf",""
"2012-07-28 22:03:38","mcdojf",""
"2012-07-20 22:40:31","mcdojf",""
"2012-07-20 22:38:47","mcdojf",""
"2012-06-28 10:15:02","mcdojf",""
"2012-06-20 19:03:09","mcdojf",""
"2012-05-31 10:54:43","mcdojf",""
"2012-05-31 10:51:42","mcdojf",""
"2012-05-31 10:49:29","mcdojf",""
"2012-05-10 11:21:16","mcdojf",""
"2012-04-22 14:56:43","mcdojf",""
"2012-03-13 20:04:29","mcdojf",""
"2012-01-31 19:58:32","mcdojf",""
"2012-01-29 19:30:57","mcdojf",""
"2012-01-29 15:36:33","mcdojf",""
"2012-01-20 22:22:42","mcdojf",""
"2012-01-20 21:06:44","mcdojf",""
"2012-01-12 06:57:10","mcdojf",""
"2012-01-07 10:45:45","mcdojf",""
"2012-01-06 22:10:42","mcdojf",""
"2012-01-06 22:10:22","mcdojf",""
"2012-01-06 22:10:07","mcdojf",""
"2012-01-06 22:09:53","mcdojf",""
"2011-12-08 11:18:15","mcdojf",""
"2011-12-08 11:17:39","mcdojf",""
"2011-12-08 11:15:08","mcdojf",""
"2011-11-20 21:42:20","mcdojf",""
"2011-09-17 10:29:03","mcdojf",""
"2011-09-10 06:51:22","mcdojf","Reverted to Aug 10, 2011 9:26 am"
"2011-09-09 20:05:14","kim122079",""
"2011-08-10 09:26:52","mcdojf",""
"2011-08-10 09:26:39","mcdojf",""
"2011-08-04 07:20:53","mcdojf",""
"2011-07-28 07:52:46","mcdojf",""
"2011-07-28 07:52:00","mcdojf",""
"2011-06-28 17:12:34","mcdojf",""
"2011-06-26 20:07:36","mcdojf",""
"2011-06-21 22:23:23","mcdojf",""
"2011-06-19 21:10:03","mcdojf",""
"2011-06-13 14:49:45","mcdojf",""
"2011-06-13 14:49:21","mcdojf",""
"2011-06-13 14:45:25","mcdojf",""
"2011-06-13 12:14:49","mcdojf",""
"2011-06-13 12:13:27","mcdojf",""
"2011-06-11 13:38:35","mcdojf",""
"2011-06-11 13:10:37","mcdojf",""
"2011-06-11 09:20:11","mcdojf",""
"2011-06-11 08:46:52","mcdojf",""
"2011-06-10 23:23:33","mcdojf",""
"2011-06-10 23:22:50","mcdojf",""
"2011-06-10 21:36:17","mcdojf",""
"2011-06-10 21:35:37","mcdojf",""
"2011-06-10 19:03:00","mcdojf",""
"2011-06-10 18:58:19","mcdojf",""
"2011-06-10 18:28:25","mcdojf",""
